CVEID,Third-party Applications,Summary,Published Date,CVE Date,fix date,CVSS v3.x Score,Severity,成因,analysis,risk_level,,
CVE-2020-8559,Kubernetes,"The Kubernetes kube-apiserver in versions v1.6-v1.15, and versions prior to v1.16.13, v1.17.9 and v1.18.6 are vulnerable to an unvalidated redirect on proxied upgrade requests that could allow an attacker to escalate privileges from a node compromise to a full cluster compromise.",9-Jul-20,2020-07-22T14:15:16Z,13-Jul-20,6.8,MEDIUM,敏感信息泄露,"1. **漏洞类型分类或成因**  
   该漏洞属于**安全逻辑缺陷**，具体为**未验证的重定向（开放重定向）**。当`kube-apiserver`代理请求到节点（如`kubelet`）时，未对目标地址进行严格验证，攻击者可构造恶意请求将流量重定向到受控服务器，导致敏感信息（如认证令牌）泄露或特权操作被劫持。

2. **潜在攻击场景分析**  
   - 攻击者已入侵集群中的某个节点（例如通过容器逃逸或恶意Pod）。
   - 利用该漏洞构造恶意代理请求，将`kube-apiserver`的代理流量（如`exec`、`port-forward`）重定向到攻击者控制的服务器。
   - 劫持代理流量后，获取`kube-apiserver`的认证凭据（如服务账户令牌），进而以高权限执行集群操作（如部署恶意Pod、窃取敏感数据），最终完全控制集群。

3. **推荐缓解措施**  
   - **升级版本**：将Kubernetes升级至修复版本（v1.16.13+、v1.17.9+、v1.18.6+ 或更高）。
   - **网络隔离**：限制节点与`kube-apiserver`之间的通信，仅允许必要端口和协议。
   - **最小化权限**：遵循最小权限原则，限制节点服务账户的权限。
   - **监控审计**：启用Kubernetes审计日志，监控异常的代理请求和重定向行为。
   - **临时缓解**：若无法立即升级，可禁用不必要的代理功能或通过反向代理强制校验目标地址。

4. **优先级评估**  
   **高**。该漏洞允许从节点权限提升到集群管理员权限，可能导致完全集群沦陷，尤其对多租户或暴露于不可信节点的环境风险极高。需优先修复。",低危,,
CVE-2021-41254,kustomize-controller,"kustomize-controller is a Kubernetes operator, specialized in running continuous delivery pipelines for infrastructure and workloads defined with Kubernetes manifests and assembled with Kustomize. Users that can create Kubernetes Secrets, Service Accounts and Flux Kustomization objects, could execute commands inside the kustomize-controller container by embedding a shell script in a Kubernetes Secret. This can be used to run `kubectl` commands under the Service Account of kustomize-controller, thus allowing an authenticated Kubernetes user to gain cluster admin privileges. In affected versions multitenant environments where non-admin users have permissions to create Flux Kustomization objects are affected by this issue. This vulnerability was fixed in kustomize-controller v0.15.0 (included in flux2 v0.18.0) released on 2021-10-08. Starting with v0.15, the kustomize-controller no longer executes shell commands on the container OS and the `kubectl` binary has been removed from the container image. To prevent the creation of Kubernetes Service Accounts with `secrets` in namespaces owned by tenants, a Kubernetes validation webhook such as Gatekeeper OPA or Kyverno can be used.",12-Nov-21,2021-11-12T18:15:07Z,2021/10/8,8.8,HIGH,代码注入,"1. **漏洞类型分类或成因**  
   该漏洞属于**安全逻辑缺陷**，主要成因在于kustomize-controller未对用户可控的输入（如Kubernetes Secret中的脚本内容）进行充分的安全限制。攻击者可通过构造恶意Shell脚本嵌入Secret，利用kustomize-controller容器内遗留的`kubectl`二进制文件，以高权限Service Account执行任意命令，导致权限提升。

2. **潜在攻击场景分析**  
   - **多租户环境下的权限滥用**：若攻击者拥有创建Flux Kustomization对象和Secret的权限，可在Secret中注入恶意脚本。当kustomize-controller处理该对象时，脚本会被执行，利用容器内的`kubectl`以集群管理员权限操作资源（如创建特权Pod、窃取敏感数据、横向移动等）。  
   - **供应链攻击**：通过污染被集成的配置仓库，诱导kustomize-controller执行恶意操作。  
   - **容器逃逸可能性**：若容器运行时或内核存在漏洞，攻击者可能进一步突破容器隔离，控制宿主机。

3. **推荐缓解措施**  
   - **立即升级**：将kustomize-controller升级至v0.15.0及以上版本（或flux2 v0.18.0+），该版本移除了容器内的`kubectl`并禁用了Shell命令执行。  
   - **权限最小化**：通过RBAC严格限制非管理员用户创建Flux Kustomization、Secret和Service Account的权限，避免多租户环境中过度授权。  
   - **策略强制**：部署Kubernetes验证webhook（如Gatekeeper OPA、Kyverno），禁止在租户命名空间中创建包含`secrets`字段的Service Account。  
   - **运行时监控**：审计集群中异常`kubectl`调用或高权限Service Account的活动日志，结合SIEM工具告警。  

4. **优先级评估**  
   **高**。CVSS 8.8分表明漏洞具备高危害性，攻击者可利用低权限账户直接获取集群管理员权限，对多租户环境尤其致命。需立即修复并审查权限配置。",低危,,
CVE-2021-43858,MinIO,"MinIO is a Kubernetes native application for cloud storage. Prior to version `RELEASE.202  2021-12-27T07-23-18Z`, a malicious client can hand-craft an HTTP API call that allows for updating policy for a user and gaining higher privileges. The patch in version `RELEASE.2021-12-27T07-23-18Z` changes the accepted request body type and removes the ability to apply policy changes through this API. There is a workaround for this vulnerability: Changing passwords can be disabled by adding an explicit `Deny` rule to disable the API for users."," Dec 28, 2021",2021-12-27T22:15:07Z," Dec 28, 2021",(not available),N/A,内部权限失控,"1. **漏洞类型分类或成因**  
   该漏洞属于**安全逻辑缺陷**，具体成因是MinIO的HTTP API接口未对用户权限进行严格校验，导致恶意客户端可通过构造特定API请求非法修改用户策略，从而实施权限提升攻击。

2. **潜在攻击场景分析**  
   - **权限提升攻击**：攻击者可利用此漏洞将普通用户权限提升至管理员权限，进而控制存储系统、窃取或篡改数据。  
   - **横向渗透**：在Kubernetes集群中，攻击者可能通过提升权限后访问其他关联服务或资源，扩大攻击范围。  
   - **数据泄露与破坏**：通过高权限账户直接删除或加密存储数据（如配合勒索软件），造成业务中断。  

3. **推荐缓解措施**  
   - **立即升级MinIO版本**：将受影响的MinIO升级至`RELEASE.2021-12-27T07-23-18Z`或更高版本，以修复API校验逻辑。  
   - **临时规避方案**：若无法立即升级，通过IAM策略添加`Deny`规则，禁用用户调用敏感API（如`UpdateUserPolicy`）。  
   - **权限最小化原则**：严格限制用户权限，避免普通用户拥有策略管理相关权限。  
   - **日志监控与告警**：监控异常API调用（尤其是策略修改行为），结合SIEM工具实时告警。  

4. **优先级评估**  
   **高优先级**。权限提升漏洞可直接导致系统完全沦陷，且MinIO常用于存储敏感数据，攻击影响面大。若系统暴露于公网或存在多租户场景，风险等级进一步升高。",低危,,
CVE-2022-1902,Red Hat Advanced Cluster Securit,"A flaw was found in the Red Hat Advanced Cluster Security for Kubernetes. Notifier secrets were not properly sanitized in the GraphQL API. This flaw allows authenticated ACS users to retrieve Notifiers from the GraphQL API, revealing secrets that can escalate their privileges.",2022年5月25日,2022-09-01T21:15:09Z,31-May-22,8.8,HIGH,敏感信息泄露,"1. **漏洞类型分类或成因**  
   该漏洞属于**安全逻辑缺陷**，具体为**敏感信息泄露**。成因是Red Hat Advanced Cluster Security (ACS)的GraphQL API在返回“Notifier”配置数据时未对敏感字段（如密码、API密钥等）进行脱敏或权限校验，导致低权限用户可通过API直接获取高权限的机密信息。

2. **潜在攻击场景分析**  
   - **内部提权攻击**：已通过基础认证的低权限用户（如普通操作员）通过构造特定GraphQL查询，获取包含高权限凭据的Notifier配置（如集成外部系统的API密钥、Webhook令牌等），利用这些凭据进一步接管ACS或其他关联系统。  
   - **横向渗透**：攻击者利用泄露的Notifier机密（如邮件服务器密码、Sl令牌等）横向渗透到第三方服务，扩大攻击范围。  
   - **持久化后门**：通过窃取的机密信息创建恶意Notifier，将审计日志或告警信息转发至攻击者控制的服务器，实现数据持续泄露。

3. **推荐缓解措施**  
   - **官方补丁升级**：立即应用Red Hat发布的补丁，确保GraphQL API对Notifier数据实施严格的字段级访问控制与脱敏。  
   - **最小权限原则**：限制用户对Notifier相关API端点的访问权限，仅允许必要角色（如管理员）操作。  
   - **审计与监控**：  
     - 检查现有Notifier配置是否被篡改或异常访问。  
     - 监控GraphQL API的查询日志，识别异常高频或包含敏感字段的请求。  
   - **临时缓解**：若无法立即升级，可通过网络策略限制GraphQL API的访问范围，并禁用非必要的Notifier功能。

4. **优先级评估**  
   **高**。CVSS 8.8分表明漏洞具备高攻击复杂度但低权限要求的特性（如CVSS向量可能含CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H）。结合以下因素需优先处理：  
   - 影响关键权限管理组件（Notifier常用于集成安全告警系统）。  
   - 泄露的机密可能直接导致横向移动或供应链攻击。  
   - 红帽产品广泛用于企业环境，漏洞利用可能对云原生安全架构造成连锁风险。",低危,,
CVE-2022-21701,Istio,"Istio is an open platform to connect, manage, and secure microservices. In versions 1.12.0 and 1.12.1 Istio is vulnerable to a privilege escalation attack.",2022/1/19,2022-01-19T22:15:09Z,2022.1.18,8.8,HIGH,内部权限失控,"1. **漏洞类型分类或成因**  
   该漏洞属于**安全逻辑缺陷**，具体为权限提升漏洞。成因可能涉及Istio控制平面（如Istiod）在处理服务身份验证或授权时存在缺陷，导致攻击者可绕过预期权限限制，获取更高特权访问集群资源。

2. **潜在攻击场景分析**  
   - 攻击者通过劫持或仿冒服务身份（如ServiceAccount），利用漏洞绕过Istio的RBAC规则，访问其他服务或敏感数据。  
   - 攻击者可能通过恶意Sidecar代理注入，篡改Envoy配置，劫持流量或访问未授权资源。  
   - 控制平面API未严格校验请求来源，导致攻击者通过未授权API调用修改网格配置（如VirtualService、AuthorizationPolicy），破坏服务间安全通信。

3. **推荐缓解措施**  
   - **立即升级Istio**至修复版本（如1.12.2或更高），官方通常会在漏洞披露后发布补丁。  
   - **强化RBAC配置**：检查并限制服务账户权限，遵循最小权限原则。  
   - **网络隔离**：使用Kubernetes NetworkPolicy或防火墙规则限制对Istio控制平面（如Istiod）的访问。  
   - **启用严格mTLS模式**：确保服务间通信强制双向TLS加密，防止身份伪造。  
   - **审计现有配置**：检查AuthorizationPolicy和PeerAuthentication资源，确保无过度宽松规则。  

4. **优先级评估**  
   **高**  
   - CVSS 8.8（高危）表明漏洞易被利用且影响深远，可能导致集群内横向移动或数据泄露。  
   - Istio作为服务网格核心组件，控制平面漏洞直接影响整个微服务架构的安全性，需优先修复。",低危,,
CVE-2022-23652,capsule-proxy,capsule-proxy is a reverse proxy for Capsule Operator which provides multi-tenancy in Kubernetes. In versions prior to 0.2.1 an attacker with a proper authentication mechanism may use a malicious `Connection` header to start a privilege escalation attack.,2022/2/19,2022-02-22T20:15:07Z,2022.2.21,8.8,HIGH,内部权限失控,"1. **漏洞类型分类或成因**  
   该漏洞属于**安全逻辑缺陷**，具体成因为对HTTP请求头（`Connection`头）的输入验证不严格。攻击者通过构造恶意`Connection`头绕过Capsule-proxy的认证或授权逻辑，导致权限提升。

2. **潜在攻击场景分析**  
   - 攻击者在通过初始认证后，向Capsule-proxy发送包含恶意`Connection`头的请求，可能篡改代理行为（如绕过租户隔离策略）。  
   - 漏洞可能允许攻击者访问其他租户的Kubernetes资源（如Pod、Service），甚至执行集群级操作（如创建/删除命名空间），破坏多租户隔离性。  
   - 结合其他漏洞（如容器逃逸），可能进一步控制整个集群。

3. **推荐缓解措施**  
   - **立即升级**到Capsule-proxy 0.2.1或更高版本。  
   - **强化输入验证**：严格校验`Connection`头内容，拒绝非法字段（如非标准协议指令）。  
   - **实施最小权限原则**：确保Capsule-proxy仅拥有必要的Kubernetes RBAC权限。  
   - **网络层防护**：通过WAF（Web应用防火墙）拦截异常HTTP头请求。  
   - **审计与监控**：记录并分析`Connection`头异常的请求，实时告警可疑行为。

4. **优先级评估**  
   **高**。CVSS 8.8（高危）表明攻击复杂度低、影响范围广，且权限提升可直接破坏Kubernetes多租户核心安全目标。需优先修复，尤其针对生产环境。",低危,,
CVE-2022-24730,Argo CD ,"Argo CD is a declarative, GitOps continuous delivery tool for Kubernetes. Argo CD starting with version 1.3.0 but before versions 2.1.11, 2.2.6, and 2.3.0 is vulnerable to a path traversal bug, compounded by an improper access control bug, allowing a malicious user with read-only repository access to leak sensitive files from Argo CD's repo-server. A malicious Argo CD user who has been granted `get` access for a repository containing a Helm chart can craft an API request to the `/api  /vuln/detail/CVE-2022-24730","三月 23, 2022; 5:15:08 下午 -0400",2022-03-23T21:15:08Z,6-Mar-22,6.5,MEDIUM,敏感信息泄露,"1. **漏洞类型分类或成因**  
   该漏洞是**路径遍历（Path Traversal）**与**访问控制缺陷（Improper Access Control）**的结合。攻击者通过构造恶意API请求，利用路径遍历绕过文件访问限制，同时系统未正确验证用户权限，导致敏感文件泄露。

2. **潜在攻击场景分析**  
   - 攻击者需具备对某Helm仓库的`get`权限（仅需只读访问）。  
   - 通过构造包含`../`等路径遍历字符的API请求（如`/api/v1/applications/{app}/resource`或其他相关接口），访问Argo CD `repo-server`上的敏感文件（如`/etc/passwd`、Kubernetes Secrets挂载文件等）。  
   - 泄露的敏感信息可能被用于横向渗透、权限提升或直接破坏集群安全。

3. **推荐缓解措施**  
   - **立即升级**至修复版本（Argo CD 2.1.11、2.2.6、2.3.0或更高）。  
   - **最小化权限原则**：限制用户仅能访问必要的仓库，避免授予不必要的`get`权限。  
   - **输入验证强化**：对用户提交的路径参数进行规范化检查，过滤`../`等特殊字符。  
   - **网络隔离**：限制`repo-server`的敏感文件访问权限，确保其运行环境与其他敏感系统隔离。

4. **优先级评估**  
   **高**  
   - 漏洞允许低权限用户泄露敏感数据，可能直接导致系统沦陷。  
   - Argo CD作为核心CI/CD工具，通常管理生产环境凭据，风险影响面大。  
   - 公开漏洞详情可能加速攻击链构造，需优先修复。",低危,,
CVE-2022-24768,Argo CD,"Argo CD is a declarative, GitOps continuous delivery tool for Kubernetes. All unpatched versions of Argo CD starting with 1.0.0 are vulnerable to an improper access control bug, allowing a malicious user to potentially escalate their privileges to admin-level.",2022/3/23,2022-03-23T22:15:13Z,2022/3/23,8.8,HIGH,内部权限失控,"1. **漏洞类型分类或成因**  
   该漏洞属于**安全逻辑缺陷**，具体为**不当的访问控制（Improper Access Control）**。其成因是Argo CD的权限校验机制存在漏洞，未能正确限制低权限用户的操作范围，导致攻击者可绕过权限检查并获取管理员特权。

2. **潜在攻击场景分析**  
   - **权限提升攻击**：已拥有普通用户权限的攻击者（如只读用户或项目成员）可通过构造恶意请求或滥用API接口，直接访问管理员专属功能（如全局配置修改、用户权限管理）。  
   - **横向渗透风险**：攻击者获取管理员权限后，可能篡改Kubernetes集群配置、窃取敏感数据，甚至部署恶意容器或横向渗透至其他系统。  
   - **自动化攻击**：结合CI/CD流程的自动化特性，攻击者可能通过GitOps管道注入恶意代码并强制同步至生产环境。

3. **推荐缓解措施**  
   - **立即升级版本**：应用Argo CD官方发布的补丁版本（如1.8.6+或后续修复版本）。  
   - **最小权限原则**：严格限制用户权限，避免普通用户拥有不必要的API访问权限，通过RBAC（基于角色的访问控制）细化权限分配。  
   - **审计与监控**：启用Argo CD审计日志并实时监控异常管理操作（如非管理员用户尝试修改全局配置）。  
   - **网络隔离**：在集群内部对Argo CD实例实施网络策略隔离，限制其管理端口的外部暴露。  

4. **优先级评估**  
   **高**。CVSS 8.8分表明该漏洞具备高可利用性和严重危害性，且权限提升漏洞可直接导致系统完全沦陷。需立即修复以避免供应链攻击或内部威胁。",低危,,
CVE-2022-24817,Flux2,"Flux2 is an open and extensible continuous delivery solution for Kubernetes. Flux2 versions between 0.1.0 and 0.29.0, helm-controller 0.1.0 to v0.19.0, and kustomize-controller 0.1.0 to v0.23.0 are vulnerable to Code Injection via malicious Kubeconfig.",2022/3/4,2022-05-06T00:15:07Z,2022.4.20,9.9,CRITICAL,代码注入,"1. **漏洞类型分类或成因**  
   该漏洞属于**代码注入漏洞**（Code Injection），具体成因是Flux2相关组件在处理用户提供的Kubeconfig文件时，未对输入内容进行充分的验证和过滤。攻击者可通过构造恶意的Kubeconfig文件注入任意代码，导致在目标系统中执行非授权操作。

2. **潜在攻击场景分析**  
   - 攻击者可能通过篡改Kubeconfig文件（例如在Git仓库中提交恶意配置），当Flux2自动同步配置时触发漏洞，从而在Kubernetes集群中执行任意命令。  
   - 恶意内部人员或供应链攻击者可能直接向目标系统注入恶意Kubeconfig，获取集群控制权，进而窃取敏感数据、部署恶意容器或破坏集群资源。  
   - 结合CI/CD流程自动化特性，攻击可能导致整个交付管道被劫持，扩大攻击影响范围。

3. **推荐缓解措施**  
   - **立即升级组件**：将Flux2升级至0.29.0以上版本，helm-controller升级至v0.19.0以上，kustomize-controller升级至v0.23.0以上。  
   - **限制Kubeconfig来源**：仅从受信任的仓库或来源获取Kubeconfig文件，并启用签名验证机制（如Cosign）。  
   - **最小化权限原则**：为Flux2控制器配置最小必需的RBAC权限，降低漏洞被利用后的横向移动风险。  
   - **网络隔离与监控**：对Flux2控制器进行网络策略隔离，并监控异常API请求或可疑命令执行行为。

4. **优先级评估**  
   **高**  
   CVSS 9.9表明此漏洞具有极高的机密性、完整性和可用性影响，且无需复杂条件即可远程利用。由于Flux2通常直接操作Kubernetes集群，漏洞利用可能导致集群完全沦陷，需立即修复。",低危,,
CVE-2022-24877,Flux,Flux is an open and extensible continuous delivery solution for Kubernetes. Path Traversal in the kustomize-controller via a malicious `kustomization.yaml` allows an attacker to expose sensitive data from the controller's pod filesystem.,2022/5/4,2022-05-06T01:15:09Z,2022.4.20,8.8,HIGH,代码注入,"1. **漏洞类型分类或成因**  
   该漏洞属于**路径遍历（Path Traversal）**，成因是kustomize-controller在处理用户提供的`kustomization.yaml`文件时，未对文件中的路径参数进行充分验证和限制。攻击者可通过构造恶意路径（如使用`../`等字符）绕过安全限制，访问控制器Pod文件系统外的敏感文件。

2. **潜在攻击场景分析**  
   - 攻击者可能向Flux仓库提交包含恶意路径的`kustomization.yaml`文件，例如通过指定`resources`或`patches`字段中的路径为`/etc/kubernetes/service-account-token`或`/var/run/secrets`等敏感位置。  
   - 当kustomize-controller处理该文件时，会尝试读取并应用这些路径对应的资源，导致敏感信息（如服务账户令牌、Kubernetes Secret等）被泄露到攻击者控制的输出中（例如构建日志或外部存储）。  
   - 泄露的凭据可能被用于横向移动、权限提升或直接攻击Kubernetes集群。

3. **推荐缓解措施**  
   - **立即升级Flux**：应用官方修复补丁，确保kustomize-controller对路径参数进行严格校验（如限制路径范围、过滤`../`等特殊字符）。  
   - **输入验证与沙箱隔离**：在自定义资源（如Kustomization）处理逻辑中，强制限制文件访问范围为预定义的合法目录，禁止跨目录操作。  
   - **最小权限原则**：运行kustomize-controller的Pod应配置为仅具备必要文件系统的只读权限，并通过SecurityContext限制容器能力（如禁止特权模式）。  
   - **审计与监控**：监控集群中异常的文件访问行为（如读取`/etc/kubernetes`或`/var/run/secrets`），并对用户提交的Kustomization配置进行代码审查。

4. **优先级评估**  
   **高**。CVSS 8.8分表明此漏洞具有高机密性影响（C:H）和高攻击复杂度（需构造恶意配置但无需特殊权限）。由于Flux在持续交付流程中的核心作用，成功利用该漏洞可直接危及整个集群的安全，需优先修复。",低危,,
CVE-2022-29165,Argo CD,"Argo CD is a declarative, GitOps continuous delivery tool for Kubernetes. A critical vulnerability has been discovered in Argo CD starting with version 1.4.0 and prior to versions 2.1.15, 2.2.9, and 2.3.4 which would allow unauthenticated users to impersonate as any Argo CD user or role, including the `admin` user, by sending a specifically crafted JSON Web Token (JWT) along with the request. In order for this vulnerability to be exploited, anonymous access to the Argo CD instance must have been enabled. In a default Argo CD installation, anonymous access is disabled. The vulnerability can be exploited to impersonate as any user or role, including the built-in `admin` account regardless of whether it is enabled or disabled. Also, the attacker does not need an account on the Argo CD instance in order to exploit this. If anonymous access to the instance is enabled, an attacker can escalate their privileges, effectively allowing them to gain the same privileges on the cluster as the Argo CD instance, which is cluster admin in a default installation. This will allow the attacker to create, manipulate and delete any resource on the cluster. They may also exfiltrate data by deploying malicious workloads with elevated privileges, thus bypassing any redaction of sensitive data otherwise enforced by the Argo CD API. A patch for this vulnerability has been released in Argo CD versions 2.3.4, 2.2.9, and 2.1.15. As a workaround, one may disable anonymous access, but upgrading to a patched version is preferable.",18-May-22,2022-05-20T15:15:10Z,18-May-22,10,CRITICAL,内部权限失控,"1. **漏洞类型分类或成因**  
   该漏洞属于**身份验证绕过**与**JWT安全逻辑缺陷**。其成因是Argo CD未能正确验证JSON Web Token（JWT）的签名或权限声明，导致攻击者可构造恶意JWT绕过身份验证流程，直接模拟任意用户或角色（包括`admin`）。漏洞触发的前提是匿名访问功能被启用，而默认配置中此功能关闭。

2. **潜在攻击场景分析**  
   - 攻击者发现目标Argo CD实例启用了匿名访问（非默认配置），构造包含伪造用户/角色声明（如`admin`）的JWT，直接发送至Argo CD API。  
   - 利用漏洞后，攻击者获得集群管理员权限（默认安装下等同于Kubernetes集群管理员），可执行任意资源操作（如部署恶意Pod、窃取敏感数据、删除关键服务），甚至通过恶意工作负载绕过敏感数据脱敏策略。  
   - 由于无需有效账户，攻击门槛极低，仅依赖匿名访问配置状态。

3. **推荐缓解措施**  
   - **立即升级**至已修复版本（Argo CD 2.3.4、2.2.9或2.1.15）。  
   - **禁用匿名访问**（若因业务需求无法升级）：通过Argo CD配置将`users.anonymous.enabled`设为`false`。  
   - **审计配置与日志**：检查现有实例是否误启匿名访问，并监控异常API请求（如来源IP、高权限操作）。  
   - **最小化权限原则**：确保Argo CD服务账户权限按需分配，非必要不授予集群管理员角色。

4. **优先级评估**  
   **高**。CVSS 10分表明漏洞危害极大，可导致完全集群接管。尽管默认配置下匿名访问关闭，但一旦启用或配置错误，风险立即达到顶峰。建议所有受影响版本用户优先修复。",低危,,
CVE-2022-29171,Sourcegraph,"Sourcegraph is a fast and featureful code search and navigation engine. Versions before 3.38.0 are vulnerable to Remote Code Execution in the gitserver service. The Gitolite code host integration with Phabricator allows Sourcegraph site admins to specify a `callsignCommand`, which is used to obtain the Phabricator metadata for a Gitolite repository. An administrator who is able to edit or add a Gitolite code host and has administrative access to Sourcegraph's bundled Grafana instance can change this command arbitrarily and run it remotely. This grants direct access to the infrastructure underlying the Sourcegraph installation. The attack requires: site-admin privileges on the instance of Sourcegraph, Administrative privileges on the bundled Grafana monitoring instance, Knowledge of the gitserver IP address or DNS name (if running in Kubernetes). This can be found through Grafana. The issue is patched in version 3.38.0. You may disable Gitolite code hosts. We still highly encourage upgrading regardless of workarounds.",4-May-22,2022-05-06T00:15:08Z,19-Mar-22,7.2,HIGH,代码注入,"1. **漏洞类型分类或成因**  
   该漏洞属于**安全逻辑缺陷**，具体原因为Gitolite集成中允许管理员自定义`callsignCommand`命令且未对其执行严格的权限隔离或输入验证。由于缺乏对命令修改的访问控制，具有双重管理权限（Sourcegraph和Grafana）的攻击者可注入任意命令，导致远程代码执行（RCE）。

2. **潜在攻击场景分析**  
   - 内部威胁或权限滥用：已获取Sourcegraph站点管理员和Grafana管理权限的攻击者（如恶意内部人员或遭窃凭据）可通过修改`callsignCommand`，注入恶意命令（如反弹Shell、数据窃取脚本等）。  
   - 横向渗透：攻击者利用Grafana获取gitserver的IP/DNS信息后，通过RCE进一步渗透底层基础设施（如Kubernetes集群）。  
   - 供应链攻击：若攻击者篡改代码仓库元数据，可能影响依赖Sourcegraph的开发或部署流程。

3. **推荐缓解措施**  
   - **立即升级**至Sourcegraph 3.38.0或更高版本。  
   - **临时缓解**：禁用Gitolite代码主机集成（若无需此功能）。  
   - **权限最小化**：分离Sourcegraph和Grafana的管理权限，避免单一账户拥有双重权限。  
   - **监控与审计**：记录并监控所有代码主机配置变更行为，尤其是`callsignCommand`的修改。  
   - **网络隔离**：限制Grafana实例的访问范围，避免其暴露于非必要网络。

4. **优先级评估**  
   **高**。尽管攻击需多权限组合，但一旦成功可直接控制基础设施，CVSS 7.2（较高风险）且存在内部威胁场景。建议优先修复并实施权限隔离。",低危,,Remote Code Execution in gitserver · Advisory · sourcegraph/sourcegraph-public-snapshot
CVE-2022-29179,Cilium,"Cilium is open source software for providing and securing network connectivity and loadbalancing between application workloads. Prior to versions 1.9.16, 1.10.11, and 1.11.15, if an attacker is able to perform a container escape of a container running as root on a host where Cilium is installed, the attacker can escalate privileges to cluster admin by using Cilium's Kubernetes service account. The problem has been fixed and the patch is available in versions 1.9.16, 1.10.11, and 1.11.5. There are no known workarounds available.",17-May-22,2022-05-20T19:15:08Z,17-May-22,8.2,HIGH,过度权限配置,"1. **漏洞类型分类或成因**  
   该漏洞属于**权限配置错误**和**安全逻辑缺陷**。根本原因是Cilium的Kubernetes服务账户（Service Account）被赋予了过高的权限（如`cluster-admin`角色），导致攻击者通过容器逃逸后，可利用该服务账户直接提升至集群管理员权限。

2. **潜在攻击场景分析**  
   - 攻击者首先通过漏洞（如容器运行时缺陷、内核漏洞）从容器中逃逸到宿主机，前提是该容器以root权限运行且未有效隔离。  
   - 逃逸后，攻击者访问宿主机上Cilium组件关联的Kubernetes服务账户令牌（Service Account Token）。  
   - 利用该令牌，攻击者直接与Kubernetes API Server交互，执行集群管理员操作（如创建/删除资源、部署恶意Pod、窃取敏感数据）。  
   - 最终导致整个Kubernetes集群被完全控制，甚至横向渗透到其他节点或服务。

3. **推荐缓解措施**  
   - **立即升级Cilium**至已修复版本（1.9.16、1.10.11、1.11.5或更高）。  
   - **遵循最小权限原则**：检查并限制Cilium服务账户的RBAC权限，仅授予其必需的操作权限（如删除`cluster-admin`绑定）。  
   - **禁用容器以root权限运行**：通过Pod Security Policies或Kubernetes Pod Security Admission强制容器以非特权用户运行。  
   - **强化容器隔离**：启用Seccomp、AppArmor/SELinux等安全策略，限制容器逃逸的可能性。  
   - **监控异常活动**：审计Kubernetes API Server日志，检测未授权的管理员操作，并设置告警机制。

4. **优先级评估**  
   **高**。CVSS 8.2分表明漏洞危害性极高，且攻击路径在云原生环境中具有现实可行性（容器逃逸+权限提升）。成功利用可导致集群完全沦陷，影响业务机密性、完整性和可用性。需立即修复。",低危,"CVE-2022-29179 是 Cilium 的一个权限管理漏洞，其具体攻击原理与 Cilium 在 Kubernetes 集群中的权限配置及容器逃逸相关，以下是详细介绍：
攻击前提：攻击者需要先实现容器逃逸。即在安装了 Cilium 的主机上，从以 root 身份运行的容器中逃逸出来，获得宿主机的相关权限。这通常可通过利用容器的配置漏洞、内核漏洞或相关程序漏洞来实现。
利用 Cilium 服务账户权限：Cilium 的 Agent 以 DaemonSet 形式部署，在较早版本中内置的服务账户拥有集群内的delete pods权限和update nodes/status权限，Operator 以 Deployment 形式部署，其内置的服务账户拥有集群内的list secrets权限。攻击者逃逸到宿主机后，可获取 Agent 的服务账户。
转移 Cilium Operator：攻击者利用 Agent 服务账户的update nodes/status权限，将集群中其他所有节点的PodCapacity置为 0，再利用delete pods权限将 Operator 删除。由于 Deployment 的特性，Kubernetes API Server 会重新创建 Operator 副本，因其他节点PodCapacity为 0，新副本会被部署在攻击者控制的节点上。
窃取凭证：Operator 被转移到攻击者控制的节点后，攻击者获取 Operator 的服务账户，利用其list secrets权限，获取集群中clusterrole - aggregation - controller（CRAC）的ca.crt和 secret 值。clusterrole - aggregation - controller拥有 “escalate” 权限，可升级角色或集群角色的权限。
权限升级：攻击者凭借获取到的 CRAC 相关凭证，利用 “escalate” 权限，将自身权限升级为集群管理员，从而实现对整个 Kubernetes 集群的控制。",
